FirstReading,Psalm,SecondReading,Acclamation,Gospel,Date,Day
"2 Kings 17:5-8, 13-15, 18","Psalms 60:3, 4-5, 12-13",,Hebrews 4:12,Matthew 7:1-5,2018-06-25,Monday of the Twelfth Week in Ordinary Time
"2 Kings 19:9-11, 14-21, 31-35, 36","Psalms 48:2-3, 3-4, 10-11",,John 8:12,"Matthew 7:6, 12-14",2018-06-26,Tuesday of the Twelfth Week in Ordinary Time
2 Kings 22:8-13; 23:1-3,"Psalms 119:33, 34, 35, 36, 37, 40",,"John 15:4, 5",Matthew 7:15-20,2018-06-27,Wednesday of the Twelfth Week in Ordinary Time
2 Kings 24:8-17,"Psalms 79:1-2, 3-5, 8, 9",,John 14:23,Matthew 7:21-29,2018-06-28,Thursday of the Twelfth Week in Ordinary Time
"Lamentations 2:2, 10-14, 18-19","Psalms 74:1-2, 3-5, 6-7, 20-21",,Matthew 8:17,Matthew 8:5-17,2018-06-30,Saturday of the Twelfth Week in Ordinary Time
Wisdom 1:13-15; 2:23-24,"Psalms 30:2, 4, 5-6, 11, 12, 13","2 Corinthians 8:7, 9, 13-15",2 Timothy 1:10,Mark 5:21-43,2018-07-01,Thirteenth Sunday in Ordinary Time
"Amos 2:6-10, 13-16","Psalms 50:16-17, 18-19, 20-21, 22-23",,Psalms 95:8,Matthew 8:18-22,2018-07-02,Monday of the Thirteenth Week in Ordinary Time
Ephesians 2:19-22,"Psalms 117:1, 2",,John 20:29,John 20:24-29,2018-07-03,"Feast of Saint Thomas, Apostle"
"Amos 5:14-15, 21-24","Psalms 50:7, 8-9, 10-11, 12-13, 16-17",,James 1:18, Matthew 8:28-34,2018-07-04,Wednesday of the Thirteenth Week in Ordinary Time
Amos 7:10-17,"Psalms 19:8, 9, 10, 11",,2 Corinthians 5:19,Matthew 9:1-8,2018-07-05,Thursday of the Thirteenth Week in Ordinary Time
"Amos 8:4-6, 9-12","Psalms 119:2, 10, 20, 30, 40, 131",,Matthew 11:28,Matthew 9:9-13,2018-07-06,Friday of the Thirteenth Week in Ordinary Time
Amos 9:11-15,"Psalms 85:9, 10, 11-12, 13-14",,John 10:27,Matthew 9:14-17,2018-07-07,Saturday of the Thirteenth Week in Ordinary Time
Ezra 2:2-5,"Psalms 123:1-2, 2, 3-4",2 Corinthians 12:7-10,Luke 4:18,Mark 6:1-6,2018-07-08,Fourteenth Sunday in Ordinary Time
"Hosea 2:16, 17-18, 21-22","Psalms 145:2-3, 4-5, 6-7, 8-9",,2 Timothy 1:10,Matthew 9:18-26,2018-07-09,Monday of the Fourteenth Week in Ordinary Time
"Hosea 8:4-7, 11-13","Psalms 115:3-4, 5-6, 7-8, 9-10",,John 10:14,Matthew 9:32-38,2018-07-10,Tuesday of the Fourteenth Week in Ordinary Time
"Hosea 10:1-3, 7-8, 12","Psalms 105:2-3, 4-5, 6-7",,Mark 1:15,Matthew 10:1-7,2018-07-11,"Memorial of Saint Benedict, Abbot"
"Hosea 11:1-4, 8-9","Psalms 80:2, 3, 15-16",,Mark 1:15,Matthew 10:7-15,2018-07-12,Thursday of the Fourteenth Week in Ordinary Time
Hosea 14:2-10,"Psalms 51:3-4, 8-9, 12-13, 14, 17",,John 16:13; 14:26,Matthew 10:16-23,2018-07-13,Friday of the Fourteenth Week in Ordinary Time
Isaiah 6:1-8,"Psalms 93:1, 1-2, 5",,1 Peter 4:14,Matthew 10:24-33,2018-07-14,Saturday of the Fourteenth Week in Ordinary Time
Amos 7:12-15,"Psalms 85:9-10, 11-12, 13-14",Ephesians 1:3-14,Ephesians 1:17-18,Mark 6:7-13,2018-07-15,Fifteenth Sunday in Ordinary Time
Isaiah 1:10-17,"Psalms 50:8-9, 16-17, 21, 23",,Matthew 5:10,Matthew 10:34-11:1,2018-07-16,Monday of the Fifteenth Week in Ordinary Time
Isaiah 7:1-9,"Psalms 48:2-3, 3-4, 5-6, 7-8",,Psalms 95:8,Matthew 11:20-24,2018-07-17,Lectionary: 390
"Isaiah 10:5-7, 13-16","Psalms 94:5-6, 7-8, 9-10, 14-15",,Matthew 11:25,Matthew 11:25-27,2018-07-18,Wednesday of the Fifteenth Week in Ordinary Time
"Isaiah 26:7-9, 12, 16-19","Psalms 102:13-14, 15, 16-18, 19-21",,Matthew 11:28,Matthew 11:28-30,2018-07-19,Thursday of the Fifteenth Week in Ordinary Time
"Isaiah 38:1-6, 21-22, 7-8","Isaiah 38:10, 11, 12, 16",,John 10:27,Matthew 12:1-8,2018-07-20,Friday of the Fifteenth Week in Ordinary Time
Micah 2:1-5,"Psalms 10:1-2, 3-4, 7-8, 14",,2 Corinthians 5:19,Matthew 12:14-21,2018-07-21,Saturday of the Fifteenth Week in Ordinary Time
Jeremiah 23:1-6,"Psalms 23:1-3, 3-4, 5, 6",Ephesians 2:13-18,John 10:27,Mark 6:30-34,2018-07-22,Sixteenth Sunday in Ordinary Time
"Micah 6:1-4, 6-8","Psalms 50:5-6, 8-9, 16-17, 21, 23",,Psalms 95:8,Matthew 12:38-42,2018-07-23,Monday of the Sixteenth Week in Ordinary Time
"Micah 7:14-15, 18-20","Psalms 85:2-4, 5-6, 7-8",,John 14:23,Matthew 12:46-50,2018-07-24,Tuesday of the Sixteenth Week in Ordinary Time
2 Corinthians 4:7-15,"Psalms 126:1-2, 2-3, 4-5, 6",,John 15:16,Matthew 20:20-28,2018-07-25,"Feast of Saint James, Apostle"
"Jeremiah 2:1-3, 7-8, 12-13","Psalms 36:6-7, 8-9, 10-11",,Matthew 11:25,Matthew 13:10-17,2018-07-26,"Memorial of Saints Joachim and Anne, Parents of the Blessed Virgin Mary"
Jeremiah 3:14-17,"Jeremiah 31:10, 11-12, 13",,Luke 8:15,Matthew 13:18-23,2018-07-27,Friday of the Sixteenth Week in Ordinary Time
Jeremiah 7:1-11,"Psalms 84:3, 4, 5-6, 8, 11",,James 1:21,Matthew 13:24-30,2018-07-28,Saturday of the Sixteenth Week in Ordinary Time
2 Kings 4:42-44,"Psalms 145:10-11, 15-16, 17-18",Ephesians 4:1-6,Luke 7:16,John 6:1-15,2018-07-29,Seventeenth Sunday in Ordinary Time
Jeremiah 13:1-11,"Deuteronomy 32:18-19, 20, 21",,James 1:18,Matthew 13:31-35,2018-07-30,Monday of the Seventeenth Week in Ordinary Time
Jeremiah 14:7-22,"Psalms 79:8, 9, 11, 13",,,Matthew 13:36-43,2018-07-31,"Memorial of Saint Ignatius of Loyola, Priest"
"Jeremiah 15:10, 16-21","Psalms 59:2-3, 4, 10-11, 17, 18",,John 15:15,Matthew 13:44-46,2018-08-01,"Saint Alphonsus Liguouri, Bishop and Doctor of the Church"
Jeremiah 18:1-6,"Psalms 146:1-2, 3-4, 5-6",,Acts 16:14,Matthew 13:47-53,2018-08-02,Thursday of the Seventeenth Week in Ordinary Time
Jeremiah 26:1-9,"Psalms 69:5, 8-10, 14",,1 Peter 1:25, Matthew 13:54-58,2018-08-03,Friday of the Seventeenth Week in Ordinary Time
"Jeremiah 26:11-16, 24","Psalms 69:15-16, 30-31, 33-34",,Matthew 5:10,Matthew 14:1-12,2018-08-04,"Memorial of Saint John Vianney, Priest"
"Exodus 16:2-4, 12-15","Psalms 78:3-4, 23-24, 25, 54","Ephesians 4:17, 20-24",Matthew 4:4,John 6:24-35,2018-08-05,Eighteenth Sunday in Ordinary Time
"Daniel 7:9-10, 13-14","Psalms 97:1-2, 5-6, 9",2 Peter 1:16-19,Matthew 17:5,Mark 9:2-10,2018-08-06,Feast of the Transfiguration of the Lord
"Jeremiah 30:1-2, 12-15, 18-22","Psalms 102:16-18, 19-21, 29, 22-23",,John 1:49,Matthew 14:22-36,2018-08-07,Tuesday of the Eighteenth Week in Ordinary Time
Jeremiah 31:1-7,"Jeremiah 31:10, 11-12, 13",,Luke 7:16,Matthew 15: 21-28,2018-08-08,"Memorial of Saint Dominic, Priest"
Jeremiah 31:31-34,"Psalms 51:12-13, 14-15, 18-19",,Matthew 16:18,Matthew 16:13-23,2018-08-09,Thursday of the Eighteenth Week in Ordinary Time
2 Corinthians 9:6-10,"Psalms 112:1-2, 5-6, 7-8, 9",,John 8:12,John 12:24-26,2018-08-10,"Feast of Saint Lawrence, Deacon and Martyr"
Habakkuk 1:12--2:4,"Psalms 9:8-9, 10-11, 12-13",,2 Timothy 1:10,Matthew 17:14-20,2018-08-11,Saturday of the Eighteenth Week in Ordinary Time
1 Kings 19:4-8,"Psalms 34:2-3, 4-5, 6-7, 8-9 ",Ephesians 4:30--5:2,John 6:51,John 6:41-51,2018-08-12,Nineteenth Sunday in Ordinary Time
"Ezra 1:2-5, 24-28","Psalms 148:1-2, 11-12, 13, 14",,2 Thessalonians 2:14,Matthew 17:22-27,2018-08-13,Monday of the Nineteenth Week in Ordinary Time
Ezra 2:8--3:4,"Psalms 119:14, 24, 72, 103, 111, 131",,Matthew 11:29,"Matthew 18:1-5, 10, 12-14",2018-08-14,"Memorial of Saint Maximilian Kolbe, Priest and Martyr"
Ezra 12:1-12,"Psalms 78:56-57, 58-59, 61-62",,Psalms 119:135,Matthew 18:21--19:1,2018-08-16,Thursday of the Nineteenth Week in Ordinary Time
"Ezra 16:1-15, 60, 63","Isaiah 12:2-3, 4, 5-6",,1 Thessalonians 2:13,Matthew 19:3-12,2018-08-17,Friday of the Nineteenth Week in Ordinary Time
"Ezra 18:1-10, 13, 30-32","Psalms 51:12-13, 14-15, 18-19",,Matthew 11:25,Matthew 19:13-15,2018-08-18,Saturday of the Nineteenth Week in Ordinary Time
Proverbs 9:1-6,"Psalms 34:2-3, 4-5, 6-7",Ephesians 5:15-20,John 6:56,John 6:51-58,2018-08-19,Twentieth Sunday in Ordinary Time
Ezra 24:15-23,"Deuteronomy 32:18-19, 20, 21",,Matthew 5:3,Matthew 19:16-22,2018-08-20,"Memorial of Saint Bernard, Abbot and Doctor of the Church"
Ezra 28:1-10,"Deuteronomy 32:26-27, 27-28, 30, 35-36",,2 Corinthians 8:9,Matthew 19:23-30,2018-08-21,"Memorial of Saint Pius X, Pope"
Ezra 34:1-11,"Psalms 23:1-3, 3-4, 5, 6",,Hebrews 4:12,Matthew 20:1-16,2018-08-22,Memorial of the Queenship of the Blessed Virgin Mary
Ezra 36:23-28,"Psalms 51:12-13, 14-15, 18-19",,Psalms 95:8,Matthew 22:1-14,2018-08-23,Thursday of the Twentieth Week in Ordinary Time
Revelation 21:9-14,"Psalms 145:10-11, 12-13, 17-18",,John 1:49,John 1:45-51,2018-08-24,"Feast of Saint Bartholomew, Apostle"
Ezra 43:1-7,"Psalms 85:9, 10, 11-12, 13-14",,"Matthew 23:9, 10",Matthew 23:1-12,2018-08-25,Saturday of the Twentieth Week in Ordinary Time
"Joshua 24:1-2, 15-17, 18","Psalms 34:2-3, 16-17, 18-19, 20-21",Ephesians 5:21-32,"John 6:63, 68",John 6:60-69,2018-08-26,Twenty-first Sunday in Ordinary Time
"2 Thes1:1-5, 11-12","Psalms 96:1-2, 2-3, 4-5",,John 10:27,Matthew 23:13-22,2018-08-27,Memorial of Saint Monica
"2 Thessalonians 2:1-3, 14-17","Psalms 96:10, 11-12, 13",,Hebrews 4:12, Matthew 23:23-26,2018-08-28,"Memorial of Saint Augustine, Bishop and Doctor of the Church"
"2 Thessalonians 3:6-10, 16-18","Psalms 128:1-2, 4-5",,Matthew 5:10,Mark 6:17-29,2018-08-29,Memorial of the Passion of Saint John the Baptist
1 Corinthians 1:1-9,"Psalms 145:2-3, 4-5, 6-7",,"Matthew 24:42, 44",Matthew 24:42-51,2018-08-30,Thursday of the Twenty-first Week in Ordinary Time
1 Corinthians 1:17-25,"Psalms 33:1-2, 4-5, 10-11",,Luke 21:36,Matthew 25:1-13,2018-08-31,Friday of the Twenty-first Week in Ordinary Time
1 Corinthians 1:26-31,"Psalms 33:12-13, 18-19, 20-21",,John 13:34,Matthew 25:14-30,2018-09-01,Saturday of the Twenty-first Week in Ordinary Time
"Deuteronomy 4:1-2, 6-8","Psalms 15:2-3, 3-4, 4-5","James 1:17-18, 21-22, 27",James 1:18,"Mark 7:1-8, 14-15, 21-23",2018-09-02,Twenty-second Sunday in Ordinary Time
1 Corinthians 2:1-5,"Psalms 119:97, 98, 99, 100, 101, 102 ",,Luke 4:18,Luke 4:16-30,2018-09-03,"Memorial of Saint Gregory the Great, Pope and Doctor of the Church"
1 Corinthians 2:10-16,"Psalms 145:8-9, 10-11, 12-13, 13-14",,Luke 7:16,Luke 4:31-37,2018-09-04,Tuesday of the Twenty-second Week in Ordinary Time
1 Corinthians 3:1-9,"Psalms 33:12-13, 14-15, 20-21",,Luke 4:18,Luke 4:38-44,2018-09-05,Wednesday of the Twenty-second Week in Ordinary Time
1 Corinthians 3:18-23,"Psalms 24:1-2, 3-4, 5-6",,Matthew 4:19,Luke 5:1-11,2018-09-06,Thursday of the Twenty-second Week in Ordinary Time
1 Corinthians 4:1-5,"Psalms 37:3-4, 5-6, 27-28, 39-40",,John 8:12,Luke 5:33-39,2018-09-07,Friday of the Twenty-second Week in Ordinary Time
Micah 5:1-4,"Psalms 13:6, 6",,,"Matthew 1:1-16, 18-23",2018-09-08,Feast of the Nativity of the Blessed Virgin Mary
Isaiah 35:4-7,"Psalms 146:6-7, 8-9, 9-10",James 2:1-5,Matthew 4:23,Mark 7:31-37,2018-09-09,Twenty-third Sunday in Ordinary Time
1 Corinthians 5:1-8,"Psalms 5:5-6, 7, 12",,John 10:27,Luke 6:6-11,2018-09-10,Monday of the Twenty-third Week in Ordinary Time
1 Corinthians 6:1-11,"Psalms 149:1-2, 3-4, 5-6, 9",,John 15:16,Luke 6:12-19,2018-09-11,Tuesday of the Twenty-third Week in Ordinary Time
1 Corinthians 7:25-31,"Psalms 45:11-12, 14-15, 16-17",,Luke 6:23,Luke 6:20-26,2018-09-12,Wednesday of the Twenty-third Week in Ordinary Time
"1 Corinthians 8:1-7, 11-13","Psalms 139:1-3, 13-14, 23-24",,1 John 4:12,Luke 6:27-38,2018-09-13,Thursday of the Twenty-third Week in Ordinary Time
Numbers 21:4-9,"Psalms 78:1-2, 34-35, 36-37, 38",Philippians 2:6-11,,John 3:13-17,2018-09-14,Feast of the Exaltation of the Holy Cross
1 Corinthians 10:14-22,"Psalms 116:12-13, 17-18",,,John 19:25-27,2018-09-15,Memorial of Our Lady of Sorrows
Isaiah 50:5-9,"Psalms 114:1-2, 3-4, 5-6, 8-9",James 2:14-18,Galatians 6:14,Mark 8:27-35,2018-09-16,Twenty-fourth Sunday in Ordinary Time
"1 Corinthians 11:17-26, 33","Psalms 40:7-8, 8-9, 10, 17",,John 3:16,Luke 7:1-10,2018-09-17,Monday of the Twenty-fourth Week in Ordinary Time
"1 Corinthians 12:12-14, 27-31","Psalms 10:1-2, 3, 4, 5",,Luke 7:16,Luke 7:11-17,2018-09-18,Tuesday of the Twenty-fourth Week in Ordinary Time
1 Corinthians 12:31-13:13,"Psalms 33:2-3, 4-5, 12, 22",,"John 6:63, 68",Luke 7:31-35,2018-09-19,Wednesday of the Twenty-fourth Week in Ordinary Time
1 Corinthians 15:1-11,"Psalms 118:1-2, 16-17, 28",,Matthew 11:28,Luke 7:36-50,2018-09-20,"Memorial of Saints Andrew Kim Tae-gon, Priest, and Paul Chong Ha-sang, and Companions, Martyrs"
"Ephesians 4:1-7, 11-13","Psalms 19:2-3, 4-5",,Gospel,Matthew 9:9-13,2018-09-21,"Feast of Saint Matthew, Apostle and evangelist"
"1 Corinthians 15:35-37, 42-49","Psalms 56:10-12, 13-14",,Luke 8:15,Luke 8:4-15,2018-09-22,Saturday of the Twenty-fourth Week in Ordinary Time
"Wisdom 2:12, 17-20","Psalms 54:3-4, 5, 6, 8 ",James 3:16--4:3,2 Thessalonians 2:14,Mark 9:30-37,2018-09-23,Twenty-fifth Sunday in Ordinary Time
Proverbs 3:27-34,"Psalms 15:2-3, 3-4, 5",,Matthew 5:16,Luke 8:16-18,2018-09-24,Monday of the Twenty-fifth Week in Ordinary Time
"Proverbs 21:1-6, 10-13","Psalms 119:1, 27, 30, 34, 35, 44",,Luke 11:28,Luke 8:19-21,2018-09-25,Tuesday of the Twenty-fifth Week in Ordinary Time
Proverbs 30:5-9,"Psalms 119:29, 72, 89, 101, 104, 163",,Mark 1:15,Luke 9:1-6,2018-09-26,Wednesday of the Twenty-fifth Week in Ordinary Time
Ecclesiastes 1:2-11,"Psalms 90:3-4, 5-6, 12-13, 14, 17",,John 14:6,Luke 9:7-9,2018-09-27,"Memorial of Saint Vincent de Paul, Priest"
Ecclesiastes 3:1-11,"Psalms 144:1, 2, 3-4",,Mark 10:45,Luke 9:18-22,2018-09-28,Friday of the Twenty-fifth Week in Ordinary Time
"Daniel 7:9-10, 13-14","Psalms 138:1-2, 2-3, 4-5",,Psalms 103:21,John 1:47-51,2018-09-29,"Feast of Saints Michael, Gabriel, and Raphael, archangels"
Numbers 11:25-29,"Psalms 19:8, 10, 12-13, 14",James 5:1-6,"John 17:17, 17","Mark 9:38-43, 45, 47-48",2018-09-30,Twenty-sixth Sunday in Ordinary Time
Job 1:6-22,"Psalms 17:1, 2-3, 6-7",,Mark 10:45,Luke 9:46-50,2018-10-01,"Memorial of Saint Thérèse of the Child Jesus, Virgin and Doctor of the Church"
"Job 3:1-3, 11-17, 20-23","Psalms 88:2-3, 4-5, 6, 7-8",,Psalms 103:21,"Matthew 18:1-5, 10",2018-10-02,Memorial of the Guardian Angels
"Job 9:1-12, 14-16","Psalms 88:10-11, 12-13, 14-15",,Philippians 3:8-9,Luke 9:57-62,2018-10-03,Wednesday of the Twenty-sixth Week in Ordinary Time
Job 19:21-27,"Psalms 27:7-8, 8-9, 13-14",,Mark 1:15,Luke 10:1-12,2018-10-04,Memorial of Saint Francis of Assisi
"Job 38:1, 12-21; 40:3-5","Psalms 139:1-3, 7-8, 9-10, 13-14",,Psalms 95:8,Luke 10:13-16,2018-10-05,Friday of the Twenty-sixth Week in Ordinary Time
"Job 42:1-3, 5-6, 12-17","Psalms 119:66, 71, 75, 91, 125, 130",,Matthew 11:25,Luke 10:17-24,2018-10-06,Saturday of the Twenty-sixth Week in Ordinary Time
Genesis 2:18-24,"Psalms 128:1-2, 3, 4-5, 6",Hebrews 2:9-11,1 John 4:12,Mark 10:2-16 ,2018-10-07,Twenty-seventh Sunday in Ordinary Time
Galatians 1:6-12,"Psalms 111:1-2, 7-8, 9, 10",,John 13:34,Luke 10:25-37,2018-10-08,Monday of the Twenty-seventh Week in Ordinary Time
Galatians 1:13-24,"Psalms 139:1-3, 13-14, 14-15",,Luke 11:28,Luke 10:38-42,2018-10-09,Tuesday of the Twenty-seventh Week in Ordinary Time
"Galatians 2:1-2, 7-14","Psalms 117:1, 2",,Romans 8:15,Luke 11:1-4,2018-10-10,Wednesday of the Twenty-seventh Week in Ordinary Time
Galatians 3:1-5,"Luke 1:69-70, 71-72, 73-75",,Acts 16:14,Luke 11:5-13,2018-10-11,Thursday of the Twenty-seventh Week in Ordinary Time
Galatians 3:7-14,"Psalms 111:1-2, 3-4, 5-6",,John 12:31-32,Luke 11:15-26,2018-10-12,Friday of the Twenty-seventh Week in Ordinary Time
Galatians 3:22-29,"Psalms 105:2-3, 4-5, 6-7",,Luke 11:28,Luke 11:27-28,2018-10-13,Saturday of the Twenty-seventh Week in Ordinary Time
Wisdom 7:7-11,"Psalms 90:12-13, 14-15, 16-17 ",Hebrews 4:12-13,Matthew 5:3,Mark 10:17-30 ,2018-10-14,Twenty-eighth Sunday in Ordinary Time
"Galatians 4:22-24, 26-27, 31--5:1","Psalms 113:1-2, 3-4, 5, 6-7",,Psalms 95:8,Luke 11:29-32,2018-10-15,"Memorial of Saint Teresa of Jesus, Virgin and Doctor of the Church"
Galatians 5:1-6,"Psalms 119:41, 43, 44, 45, 47, 48",,Hebrews 4:12,Luke 11:37-41,2018-10-16,Tuesday of the Twenty-eighth Week in Ordinary Time
Galatians 5:18-25,"Psalms 1:1-2, 3, 4, 6",,John 10:27,Luke 11:42-46,2018-10-17,"Memorial of Saint Ignatius of Antioch, Bishop and Martyr"
2 Timothy 4:10-17,"Psalms 145:10-11, 12-13, 17-18",,John 15:16,Luke 10:1-9,2018-10-18,"Feast of Saint Luke, evangelist"
Ephesians 1:11-14,"Psalms 33:1-2, 4-5, 12-13",,Psalms 33:22,Luke 12:1-7,2018-10-19,"Memorial of Saints John de Brébeuf and Isaac Jogues, Priests, and Companions, Martyrs"
Ephesians 1:15-23,"Psalms 8:2-3, 4-5, 6-7",,"John 15:26, 27",Luke 12:8-12,2018-10-20,Saturday of the Twenty-eighth Week in Ordinary Time
Isaiah 53:10-11,"Psalms 33:4-5, 18-19, 20, 22",Hebrews 4:14-16,Mark 10:45,Mark 10:35-45 ,2018-10-21,Twenty-ninth Sunday in Ordinary Time
Ephesians 2:1-10,"Psalms 100:1-2, 3, 4, 4-5",,Matthew 5:3,Luke 12:13-21,2018-10-22,Monday of the Twenty-ninth Week in Ordinary Time
Ephesians 2:12-22,"Psalms 85:9-10, 11-12, 13-14",,Luke 21:36,Luke 12:35-38,2018-10-23,Tuesday of the Twenty-ninth Week in Ordinary Time
Ephesians 3:2-12,"Isaiah 12:2-3, 4, 5-6",,"Matthew 24:42, 44",Luke 12:39-48,2018-10-24,Wednesday of the Twenty-ninth Week in Ordinary Time
Ephesians 3:14-21,"Psalms 33:1-2, 4-5, 11-12, 18-19",,Philippians 3:8-9,Luke 12:49-53,2018-10-25,Thursday of the Twenty-ninth Week in Ordinary Time
Ephesians 4:1-6,"Psalms 24:1-2, 3-4, 5-6",,Matthew 11:25,Luke 12:54-59,2018-10-26,Friday of the Twenty-ninth Week in Ordinary Time
Ephesians 4:7-16,"Psalms 122:1-2, 3-4, 4-5",,Ezra 33:11,Luke 13:1-9,2018-10-27,Saturday of the Twenty-ninth Week in Ordinary Time
Jeremiah 31:7-9,"Psalms 126:1-2, 2-3, 4-5, 6",Hebrews 5:1-6,2 Timothy 1:10,Mark 10:46-52,2018-10-28,Thirtieth Sunday in Ordinary Time
Ephesians 4:32--5:8,"Psalms 1:1-2, 3, 4, 6",,"John 17:17, 17",Luke 13:10-17,2018-10-29,Monday of the Thirtieth Week in Ordinary Time
Ephesians 5:21-33,"Psalms 128:1-2, 3, 4-5",,Matthew 11:25,Luke 13:18-21,2018-10-30,Tuesday of the Thirtieth Week in Ordinary Time
Ephesians 6:1-9,"Psalms 145:10-11, 12-13, 13-14",,2 Thessalonians 2:14,Luke 13:22-30,2018-10-31,Wednesday of the Thirtieth Week in Ordinary Time
"Revelation 7:2-4, 9-14","Psalms 24:1-2, 3-4, 5-6",1 John 3:1-3,Matthew 11:28,Matthew 5:1-12,2018-11-01,Solemnity of All Saints
Wisdom 3:1-9,"Psalms 23:1-3, 3-4, 5, 6",Romans 5:5-11,Matthew 25:34,Matthew 25:31-46,2018-11-02,The Commemoration of All the Faithful Departed
Philippians 1:18-26,"Psalms 42:2, 3, 5",,Matthew 11:29,"Luke 14:1, 7-11",2018-11-03,Saturday of the Thirtieth Week in Ordinary Time
Deuteronomy 6:2-6,"Psalms 18:2-3, 3-4, 47, 51",Hebrews 7:23-28,John 14:23,Mark 12:28-34,2018-11-04,Thirty-first Sunday in Ordinary Time
Philippians 2:1-4,"Psalms 131:1, 2, 3",,John 8:31-32,Luke 14:12-14,2018-11-05,Monday of the Thirty-first Week in Ordinary Time
Philippians 2:5-11,"Psalms 22:26-27, 28-30, 30, 31-32",,Matthew 11:28,Luke 14:15-24,2018-11-06,Tuesday of the Thirty-first Week in Ordinary Time
Philippians 2:12-18,"Psalms 27:1, 4, 13-14",,1 Peter 4:14,Luke 14:25-33,2018-11-07,Wednesday of the Thirty-first Week in Ordinary Time
Philippians 3:3-8,"Psalms 105:2-3, 4-5, 6-7",,Matthew 11:28,Luke 15:1-10,2018-11-08,Thursday of the Thirty-first Week in Ordinary Time
"Ezra 47:1-2, 8-9, 12","Psalms 46:2-3, 5-6, 8-9","1 Corinthians 3:9-11, 16-17",2 Chronicles 7:16,John 2:13-22,2018-11-09,Feast of the Dedication of the Lateran Basilica in Rome
Philippians 4:10-19,"Psalms 112:1-2, 5-6, 8, 9",,2 Corinthians 8:9,Luke 16:9-15,2018-11-10,"Memorial of Saint Leo the Great, Pope and Doctor of the Church"
1 Kings 17:10-16,"Psalms 146:7, 8-9, 9-10",Hebrews 9:24-28,Matthew 5:3,Mark 12:38-44,2018-11-11,Thirty-second Sunday in Ordinary Time
Titus 1:1-9,"Psalms 24:1-2, 3-4, 5-6",,"Philippians 2:15, 16",Luke 17:1-6,2018-11-12,"Memorial of Saint Josaphat, Bishop and Martyr"
"Titus 2:1-8, 11-14","Psalms 37:3-4, 18, 23, 27, 29",,John 14:23,Luke 17:7-10,2018-11-13,Tuesday of the Thirty-second Week in Ordinary Time
Titus 3:1-7,"Psalms 23:1-3, 3-4, 5, 6",,1 Thessalonians 5:18,Luke 17:11-19,2018-11-14,Wednesday of the Thirty-second Week in Ordinary Time
Phmn 7-20,"Psalms 146:7, 8-9, 9-10",,John 15:5,Luke 17:20-25,2018-11-15,Thursday of the Thirty-second Week in Ordinary Time
2 John 4-9,"Psalms 119:1, 2, 10, 11, 17, 18",,Luke 21:28,Luke 17:26-37,2018-11-16,Friday of the Thirty-second Week in Ordinary Time
3 John 5-8,"Psalms 112:1-2, 3-4, 5-6",,2 Thessalonians 2:14,Luke 18:1-8,2018-11-17,"Memorial of Saint Elizabeth of Hungary, Religious"
Daniel 12:1-3,"Psalms 16:5, 8, 9-10, 11","Hebrews 10:11-14, 18",Luke 21:36,Mark 13:24-32,2018-11-18,Thirty-third Sunday in Ordinary Time
Revelation 1:1-4; 2:1-5,"Psalms 1:1-2, 3, 4, 6",,John 8:12,Luke 18:35-43,2018-11-19,Monday of the Thirty-third Week in Ordinary Time
"Revelation 3:1-6, 14-22","Psalms 15:2-3, 3-4, 5",,1 John 4:10,Luke 19:1-10,2018-11-20,Tuesday of the Thirty-third Week in Ordinary Time
Revelation 4:1-11,"Psalms 150:1-2, 3-4, 5-6",,John 15:16,Luke 19:11-28,2018-11-21,Memorial of the Presentation of the Blessed Virgin Mary
Revelation 10:8-11,"Psalms 119:14, 24, 72,103, 111, 131",,John 10:27,Luke 19:45-48,2018-11-23,Friday of the Thirty-third Week in Ordinary Time
Revelation 11:4-12,"Psalms 144:1, 2, 9-10",,2 Timothy 1:10,Luke 20:27-40,2018-11-24,"Memorial of Saint Andrew Dung-Lac, Priest, and Companions, Martyrs"
Daniel 7:13-14,"Psalms 93:1, 1-2, 5",Revelation 1:5-8,"Mark 11:9, 10",John 18:33-37,2018-11-25,Lectionary: 161
"Revelation 14:1-3, 4-5","Psalms 24:1-2, 3-4, 5-6",,"Matthew 24:42, 44", Luke 21:1-4,2018-11-26,Monday of the Thirty-fourth Week in Ordinary Time
Revelation 14:14-19,"Psalms 96:10, 11-12, 13",,Revelation 2:10,Luke 21:5-11,2018-11-27,Tuesday of the Thirty-fourth Week in Ordinary Time
Revelation 15:1-4,"Psalms 98:1, 2-3, 7-8, 9",,Revelation 2:10,Luke 21:12-19,2018-11-28,Wednesday of the Thirty-fourth Week in Ordinary Time
"Revelation 18:1-2, 21-23; 19:1-3, 9","Psalms 100:1-2, 3, 4, 5",,Luke 21:28,Luke 21:20-28,2018-11-29,Thursday of the Thirty-fourth Week in Ordinary Time
Romans 10:9-18,"Psalms 19:8, 9, 10, 11",,Matthew 4:19,Matthew 4:18-22,2018-11-30,"Feast of Saint Andrew, Apostle"
Revelation 22:1-7,"Psalms 95:1-2, 3-5, 6-7",,Luke 21:36,Luke 21:34-36,2018-12-01,Saturday of the Thirty-fourth Week in Ordinary Time
